name,address,rating,price,services,url,city
Sercotel Ayala Bilbao,"Canciller Ayala, Bilbao, 48008","9,2",102,"['Wifi gratis en todas las habitaciones', 'Wifi gratis disponible en algunas zonas comunes', 'Aparcamiento en las instalaciones con restricciones de altura', 'Aparcamiento 24\xa0horas fuera de las instalaciones (20\xa0EUR por día); descuentos disponibles', 'Desayuno tipo bufé con un coste adicional', 'Entre semana se sirve de 07:00 a 10:30, y los fines de semana de 07:30 a 11:00', '20 EUR por persona', 'Solo se admiten perros y gatos', 'Una mascota en total (hasta 20\xa0kilogramos por mascota)', 'Tarifa: 25\xa0EUR por mascota por día', 'No se aplican cargos por animales de servicio', 'Las mascotas deben estar siempre vigiladas y se aplican restricciones más', 'Boles de comida y agua', 'Biblioteca', 'Televisión en zonas comunes', 'Caja fuerte en recepción', 'Consigna de equipaje', 'Máquina expendedora', 'Microondas compartido', 'Recepción abierta las 24 horas', 'Servicios de lavandería', 'Asistencia turística y para entradas y billetes', 'Atención multilingüe', 'Servicio de limpieza (diario)', 'Espacio de coworking', 'Sala de reuniones', 'Si tienes algún requisito de accesibilidad en particular, ponte en contacto con el alojamiento con la información que aparece en la confirmación que recibiste al reservar.', 'Accesible en silla de ruedas (puede tener limitaciones)', 'Acceso a la entrada bien iluminado', 'Ascensor (puerta con 80\xa0cm de ancho)', 'Baño público accesible en silla de ruedas', 'Entrada sin escaleras', 'Recepción accesible en silla de ruedas (a 75\xa0cm de altura)', 'Señalización en braille o en relieve', 'Vía hasta el ascensor accesible en silla de ruedas', 'Alojamiento libre de humo', 'Chimenea en el vestíbulo', 'Construido en 2019', 'Sala de estar compartida', 'Sala para eventos', 'Casino', 'Spa o balneario']",https://www.expedia.es/Bilbao-Hoteles-Sercotel-Ayala-Bilbao.h38939928.Informacion-Hotel?chkin=2026-03-24&chkout=2026-03-25&x_pwa=1&rfrr=HSR&pwa_ts=1773159600884&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5lcy9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=6084357&destination=Bilbao+%28y+alrededores%29%2C+Pa%C3%ADs+Vasco%2C+Espa%C3%B1a&destType=MARKET&neighborhoodId=6356376&latLong=43.26128%2C-2.92717&sort=RECOMMENDED&top_dp=102&top_cur=EUR&userIntent=&selectedRoomType=328280182&selectedRatePlan=408363925&categorySearch=any_option&searchId=eef01e22-a6a8-4042-817c-5cc7c286c048,Bilbao
Bilbao ROOMS & KITCHEN Rekalde,"León de Uruñuela Kalea 4, Bilbao, Bizkaia, 48002",10,89,"['Wifi gratis en todas las habitaciones', 'Velocidad de conexión wifi en la habitación: 25\xa0Mbps o más', 'Wifi gratis disponible en algunas zonas comunes', 'No hay aparcamiento en las instalaciones', 'No se aceptan mascotas', 'Frigorífico pequeño', 'Lavadora/secadora todo en uno', 'Microondas en la habitación', 'Recepción virtual', 'Servicio de limpieza a petición', 'Si tienes algún requisito de accesibilidad en particular, ponte en contacto con el alojamiento con la información que aparece en la confirmación que recibiste al reservar.', 'Accesible en silla de ruedas (puede tener limitaciones)', 'Acceso a la entrada bien iluminado', 'Ascensor (puerta con 90\xa0cm de ancho)', 'Barandillas en las escaleras (a 90\xa0cm de altura)', 'Rampa en la entrada principal', 'Vía hasta el ascensor accesible en silla de ruedas']",https://www.expedia.es/Bilbao-Hoteles-Bilbao-ROOMS-KITCHEN-Rekalde.h117837856.Informacion-Hotel?chkin=2026-03-24&chkout=2026-03-25&x_pwa=1&rfrr=HSR&pwa_ts=1773159600928&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5lcy9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=6084357&destination=Bilbao+%28y+alrededores%29%2C+Pa%C3%ADs+Vasco%2C+Espa%C3%B1a&destType=MARKET&neighborhoodId=553248635976399193&latLong=43.26128%2C-2.92717&sort=RECOMMENDED&top_dp=89&top_cur=EUR&userIntent=&selectedRoomType=326877254&selectedRatePlan=403088237&categorySearch=any_option&searchId=eef01e22-a6a8-4042-817c-5cc7c286c048,Bilbao
Puente Colgante Boutique Hotel,"Maria Diaz de Haro Kalea, 2, Portugalete, Vizcaya, 48920","8,8",103,"['Exterior6', 'Exterior', 'Wifi gratis en todas las habitaciones', 'Wifi gratis disponible en algunas zonas comunes', 'Aparcamiento cubierto y con vigilancia en las instalaciones (19\xa0EUR por día)', 'Aparcamiento sin asistencia limitado en las instalaciones', 'Aparcamiento accesible en silla de ruedas disponible', 'Desayuno tipo bufé con un coste adicional', 'Entre semana se sirve de 07:00 a 10:00, y los fines de semana de 08:00 a 11:00', '22 EUR por persona', 'Un bar o lounge', 'Un restaurante', 'Paladar by Zuriñe Garcia: restaurante gourmet que sirve almuerzo y cena. Es preciso reservar.', 'Cromwell: bar de copas en las instalaciones. Los huéspedes pueden disfrutar de bebidas en el bar. Abre solo algunos días.', 'Txakoli de la Habana: bar que sirve desayunos, almuerzos y cenas. Es preciso reservar. Abre todos los días.', 'Los huéspedes pueden acudir a un gimnasio cercano', 'Solo se aceptan animales de servicio, no mascotas', 'Televisión en zonas comunes', 'Servicios de lavandería', 'Caja fuerte en recepción', 'Cajero automático', 'Consigna de equipaje', 'Máquina expendedora', 'Periódicos gratis en el vestíbulo', 'Recepción abierta las 24 horas', 'Asistencia turística y para entradas y billetes', 'Atención multilingüe', 'Servicio de celebración de bodas', 'Servicio de descubierta', 'Servicio de limpieza (diario)', 'Servicio de tintorería/lavandería', 'Servicios de conserjería', 'Centro de conferencias (170 metros cuadrados de espacio)', 'Centro de negocios 24 horas', 'Salas de reuniones', 'Terraza', 'Si tienes algún requisito de accesibilidad en particular, ponte en contacto con el alojamiento con la información que aparece en la confirmación que recibiste al reservar.', 'Accesible en silla de ruedas (puede tener limitaciones)', 'Aparcamiento accesible en silla de ruedas', 'Ascensor', 'Baño público accesible en silla de ruedas', 'Barra de apoyo cerca del inodoro', 'Centro de negocios accesible en silla de ruedas', 'Conserjería accesible en silla de ruedas', 'Recepción accesible en silla de ruedas', 'Restaurante accesible en silla de ruedas', 'Salón accesible en silla de ruedas', 'Señalización en braille o en relieve', 'Tirador de emergencia en el baño', '1\xa0edificio', '3\xa0pisos', 'Alojamiento libre de humo', 'Salón de banquetes', 'Ciclismo de montaña', 'Clases de golf', 'Descenso de ríos', 'Gimnasio', 'Golf', 'Kayak', 'Playa', 'Submarinismo', 'Surf o bodyboard', 'Vela', 'Windsurf']",https://www.expedia.es/Bilbao-Hoteles-Puente-Colgante-Boutique-Hotel.h892054.Informacion-Hotel?chkin=2026-03-24&chkout=2026-03-25&x_pwa=1&rfrr=HSR&pwa_ts=1773159600949&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5lcy9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=6084357&destination=Bilbao+%28y+alrededores%29%2C+Pa%C3%ADs+Vasco%2C+Espa%C3%B1a&destType=MARKET&latLong=43.26128%2C-2.92717&sort=RECOMMENDED&top_dp=103&top_cur=EUR&userIntent=&selectedRoomType=167368&selectedRatePlan=403044723&categorySearch=any_option&searchId=eef01e22-a6a8-4042-817c-5cc7c286c048,Bilbao
Bilbao City Center by abba Suites,"Calle Huertas de la Villa 15, Bilbao, Bilbao, 48007",9.8,98,"['Exterior3', 'Exterior', 'Disponible en el apartamento: wifi gratis', 'Disponible en algunas zonas comunes: wifi gratis', 'Aparcamiento en las instalaciones (24\xa0EUR por día)', 'Aparcamiento sin asistencia limitado en las instalaciones', 'Las opciones de aparcamiento de las instalaciones incluyen garaje', 'Solo se admiten perros', 'Una mascota en total (hasta 20\xa0kilogramos por mascota)', 'Tarifa: 30\xa0EUR por mascota por noche', 'No se aplican cargos por animales de servicio', 'Las mascotas deben estar siempre vigiladas', 'Boles de comida y agua', 'Cafetera y tetera', 'Frigorífico/congelador tamaño estándar', 'Hervidor eléctrico', 'Lavavajillas', 'Máquina de café expreso', 'Microondas', 'Placa de cocina', 'Vajilla y utensilios de cocina', 'Carta de almohadas', 'Colchón de espuma viscoelástica', 'Edredón de plumas', 'Juegos de cama hipoalergénicos', 'Se proporcionan sábanas', '1\xa0baño privado', 'Bañera o ducha', 'Bañera profunda o cabezal de ducha tipo lluvia', 'Champú', 'Jabón', 'Papel higiénico', 'Productos de higiene personal gratis', 'Se proporcionan toallas', 'Secador de pelo', 'Televisión de plasma de 49\xa0pulgadas con canales prémium', 'Detergente para lavadora', 'Lavadora/secadora', 'Espacio para trabajar con ordenador portátil', 'Aire acondicionado', 'Calefacción', 'Si tienes algún requisito de accesibilidad en particular, ponte en contacto con el alojamiento con la información que aparece en la confirmación que recibiste al reservar.', 'Acceso en silla de ruedas (puede tener limitaciones)', 'Ascensor', 'Asiento de inodoro elevado', 'Barra de apoyo cerca del inodoro', 'Lavabo a baja altura', 'Alojamiento libre de humo', 'Adaptadores eléctricos', 'Asistencia turística y para entradas y billetes', 'Caja fuerte para portátiles', 'Consigna de equipaje', 'Cortinas oscuras', 'Guías', 'Mapas locales', 'Máquina expendedora', 'Periódico diario gratis', 'Plancha o tabla de planchar', 'Servicio de limpieza (previa solicitud) (de pago)', 'Teléfono', 'Cerca de una estación de metro', '35\xa0unidades', 'Servicio de limpieza (previa solicitud)', 'Sistema de insonorización', 'Detector de monóxido de carbono (el propietario ha indicado que hay un detector de monóxido de carbono en el alojamiento)', 'Detector de humo (el propietario ha indicado que hay un detector de humo en el alojamiento)', 'Sistema de seguridad', 'Barreras de seguridad en las ventanas', 'Extintor']",https://www.expedia.es/Bilbao-Hoteles-Bilbao-City-Center-By-ABBA-Apartments.h37583676.Informacion-Hotel?chkin=2026-03-24&chkout=2026-03-25&x_pwa=1&rfrr=HSR&pwa_ts=1773159600872&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5lcy9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=6084357&destination=Bilbao+%28y+alrededores%29%2C+Pa%C3%ADs+Vasco%2C+Espa%C3%B1a&destType=MARKET&neighborhoodId=553248635976399137&latLong=43.26128%2C-2.92717&sort=RECOMMENDED&top_dp=90&top_cur=EUR&userIntent=&selectedRoomType=326557644&selectedRatePlan=401681897&categorySearch=any_option&searchId=eef01e22-a6a8-4042-817c-5cc7c286c048,Bilbao
Bilbao rooms & kitchen Santutxu,"Union Begoñesa Etxetaldea 102, Bilbao, Bizkaia, 48004","8,0",55,['No se aceptan mascotas'],https://www.expedia.es/Bilbao-Hoteles-Bilbao-Rooms-Kitchen-Santutxu.h103890390.Informacion-Hotel?chkin=2026-03-24&chkout=2026-03-25&x_pwa=1&rfrr=HSR&pwa_ts=1773159600903&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5lcy9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=6084357&destination=Bilbao+%28y+alrededores%29%2C+Pa%C3%ADs+Vasco%2C+Espa%C3%B1a&destType=MARKET&neighborhoodId=553248635976008235&latLong=43.26128%2C-2.92717&sort=RECOMMENDED&top_dp=55&top_cur=EUR&userIntent=&selectedRoomType=324519647&selectedRatePlan=394850940&categorySearch=any_option&searchId=eef01e22-a6a8-4042-817c-5cc7c286c048,Bilbao
Pensión Basque Boutique,"Calle De La Torre, 2 1, Bilbao, Vizcaya, 48005","8,8",76,"['Wifi gratis en todas las habitaciones', 'Wifi gratis disponible en algunas zonas comunes', 'Punto de recarga de coches eléctricos en las instalaciones', 'Aparcamiento en las instalaciones con restricciones de altura', 'Aparcamiento 24\xa0horas fuera de las instalaciones (21,60\xa0EUR por día); descuentos disponibles', 'No se aceptan mascotas', 'Habitaciones insonorizadas', 'Asistencia turística y para entradas y billetes', 'Servicio de limpieza (diario)', 'Si tienes algún requisito de accesibilidad en particular, ponte en contacto con el alojamiento con la información que aparece en la confirmación que recibiste al reservar.', 'Acceso a la entrada bien iluminado', 'Sin ascensor', '1\xa0edificio', 'Alojamiento libre de humo']",https://www.expedia.es/Bilbao-Hoteles-Basque-Boutique.h6300927.Informacion-Hotel?chkin=2026-03-24&chkout=2026-03-25&x_pwa=1&rfrr=HSR&pwa_ts=1773159600890&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5lcy9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=6084357&destination=Bilbao+%28y+alrededores%29%2C+Pa%C3%ADs+Vasco%2C+Espa%C3%B1a&destType=MARKET&neighborhoodId=6165953&latLong=43.26128%2C-2.92717&sort=RECOMMENDED&top_dp=76&top_cur=EUR&userIntent=&selectedRoomType=201692396&selectedRatePlan=208433221&categorySearch=any_option&searchId=eef01e22-a6a8-4042-817c-5cc7c286c048,Bilbao
Apartamentos Olivia by gaiarooms,"Calle Prim, 58, Bilbao, 48006","8,2",71,"['Exterior3', 'Exterior', 'Wifi gratis en todas las habitaciones', 'Velocidad de conexión wifi en la habitación: 500 Mbps o más (para 6 personas o más, 10 dispositivos o más)', 'Wifi gratis disponible en algunas zonas comunes', 'No hay aparcamiento en las instalaciones', 'No se aceptan mascotas', 'Cocina en la habitación', 'Frigorífico en la habitación', 'Habitaciones insonorizadas', 'Microondas en la habitación', 'Recepción virtual', 'Servicio de limpieza (diario)', 'Ascensor', 'Alojamiento libre de humo']",https://www.expedia.es/Bilbao-Hoteles-Apartamentos-Olivia-By-Gaiarooms.h116487602.Informacion-Hotel?chkin=2026-03-24&chkout=2026-03-25&x_pwa=1&rfrr=HSR&pwa_ts=1773159600930&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5lcy9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=6084357&destination=Bilbao+%28y+alrededores%29%2C+Pa%C3%ADs+Vasco%2C+Espa%C3%B1a&destType=MARKET&neighborhoodId=553248635976400949&latLong=43.26128%2C-2.92717&sort=RECOMMENDED&top_dp=71&top_cur=EUR&userIntent=&selectedRoomType=326680059&selectedRatePlan=402253258&categorySearch=any_option&searchId=eef01e22-a6a8-4042-817c-5cc7c286c048,Bilbao
Casual Bilbao Gurea,"C/ Bidebarrieta 14 3º, Bilbao, Vizcaya, 48005","8,6",70,"['Exterior8', 'Exterior', 'Wifi gratis en todas las habitaciones', 'Wifi e Internet por cable gratis en algunas zonas comunes', 'Aparcamiento 24\xa0horas fuera de las instalaciones (17\xa0EUR por día); descuentos disponibles', 'Aparcamiento en las instalaciones (17\xa0EUR por día)', 'Aparcamiento sin asistencia limitado en las instalaciones', 'Transporte al aeropuerto de ida y vuelta en horario ininterrumpido (de pago)', 'Traslado por la zona (de pago)', 'Solo se admiten perros y gatos', 'Una mascota en total (hasta 5\xa0kilogramos por mascota)', 'Tarifa: 10\xa0EUR por mascota por noche', 'No se aplican cargos por animales de servicio', 'Se aceptan mascotas con ciertas restricciones; llama al alojamiento para obtener más información', 'Boles de comida y agua', 'Alquiler de bicicletas', 'Habitaciones insonorizadas', 'Servicios de lavandería', 'Caja fuerte en recepción', 'Consigna de equipaje', 'Máquina expendedora', 'Recepción abierta con horario limitado', 'Asistencia turística y para entradas y billetes', 'Atención multilingüe', 'Servicio de limpieza (diario)', 'Servicio de tintorería/lavandería', 'Servicios de conserjería', 'Sala de ordenadores', 'Si tienes algún requisito de accesibilidad en particular, ponte en contacto con el alojamiento con la información que aparece en la confirmación que recibiste al reservar.', 'Accesible en silla de ruedas (puede tener limitaciones)', 'Acceso a la entrada bien iluminado', 'Ascensor', 'Entrada sin escaleras', 'Vía hasta el ascensor accesible en silla de ruedas', 'Alojamiento libre de humo']",https://www.expedia.es/Bilbao-Hoteles-Casual-Bilbao-Gurea.h8363336.Informacion-Hotel?chkin=2026-03-24&chkout=2026-03-25&x_pwa=1&rfrr=HSR&pwa_ts=1773159600876&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5lcy9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=6084357&destination=Bilbao+%28y+alrededores%29%2C+Pa%C3%ADs+Vasco%2C+Espa%C3%B1a&destType=MARKET&neighborhoodId=6165953&latLong=43.26128%2C-2.92717&sort=RECOMMENDED&top_dp=70&top_cur=EUR&userIntent=&selectedRoomType=200707552&selectedRatePlan=203511778&categorySearch=any_option&searchId=eef01e22-a6a8-4042-817c-5cc7c286c048,Bilbao
BYPILLOW Bilbo,"Quintana Kalea 5 PB, Bilbao, 48007","9,0",88,"['Wifi gratis en todas las habitaciones', 'Velocidad de conexión wifi en la habitación: 25\xa0Mbps o más', 'Wifi gratis disponible en algunas zonas comunes', 'No hay aparcamiento en las instalaciones', 'No se aceptan mascotas', 'Habitaciones insonorizadas', 'Recepción abierta con horario limitado', 'Asistencia turística y para entradas y billetes', 'Cambio de sábanas (previa solicitud)', 'Cambio de toallas (previa solicitud)', 'Servicio de limpieza (diario)', 'Si tienes algún requisito de accesibilidad en particular, ponte en contacto con el alojamiento con la información que aparece en la confirmación que recibiste al reservar.', 'Acceso a la entrada bien iluminado', 'Entrada sin escaleras', 'Sin ascensor', 'Al menos un 80\xa0% de la iluminación procede de LED', 'Alojamiento libre de humo']",https://www.expedia.es/Bilbao-Hoteles-BYPILLOW-Bilbo.h101895998.Informacion-Hotel?chkin=2026-03-24&chkout=2026-03-25&x_pwa=1&rfrr=HSR&pwa_ts=1773159600889&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5lcy9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=6084357&destination=Bilbao+%28y+alrededores%29%2C+Pa%C3%ADs+Vasco%2C+Espa%C3%B1a&destType=MARKET&neighborhoodId=553248634834708936&latLong=43.26128%2C-2.92717&sort=RECOMMENDED&top_dp=88&top_cur=EUR&userIntent=&selectedRoomType=324233077&selectedRatePlan=393987403&categorySearch=any_option&searchId=eef01e22-a6a8-4042-817c-5cc7c286c048,Bilbao
Hotel Melia Bilbao,"Lehendakari Leizaola, 29, Bilbao, Vizcaya, 48001","9,0",180,"['Wifi gratis en todas las habitaciones', 'Wifi gratis disponible en algunas zonas comunes', 'Punto de recarga de coches eléctricos en las instalaciones', 'Aparcamiento en las instalaciones (28\xa0EUR por noche)', 'Aparcamiento sin asistencia limitado en las instalaciones', 'Desayuno tipo bufé con un coste adicional', 'Entre semana se sirve de 07:30 a 10:00, y los fines de semana de 08:00 a 10:30', '23 EUR por persona', '2\xa0restaurantes', 'Bar-cafetería', 'Un bar o lounge', 'Sumendi: restaurante que ofrece cocina local.', 'Bribone: restaurante que ofrece cocina local. Abre todos los días.', 'Una piscina al aire libre en las instalaciones', 'Acceso a la piscina: de 15:00 a 22:00', 'Tarifa: 50\xa0EUR por mascota por noche', 'No se aplican cargos por animales de servicio', 'Sauna', 'Cuna en la habitación', 'Habitaciones insonorizadas', 'Piscina al aire libre', 'Servicio de canguro (de pago)', 'Servicios de lavandería', 'Caja fuerte en recepción', 'Consigna de equipaje', 'Recepción abierta las 24 horas', 'Asistencia turística y para entradas y billetes', 'Servicio de tintorería/lavandería', 'Servicios de conserjería', 'Centro de negocios', 'Salas de reuniones', 'Terraza', 'Masajes en la habitación', 'Si tienes algún requisito de accesibilidad en particular, ponte en contacto con el alojamiento con la información que aparece en la confirmación que recibiste al reservar.', 'Ascensor', 'Vía accesible en silla de ruedas', '10\xa0pisos', 'Alojamiento libre de humo', 'Construido en 2004', 'Salón de banquetes']",https://www.expedia.es/Bilbao-Hoteles-Hotel-Melia-Bilbao.h974122.Informacion-Hotel?chkin=2026-03-24&chkout=2026-03-25&x_pwa=1&rfrr=HSR&pwa_ts=1773159597651&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5lcy9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=6084357&destination=Bilbao+%28y+alrededores%29%2C+Pa%C3%ADs+Vasco%2C+Espa%C3%B1a&destType=MARKET&neighborhoodId=553248633937781377&latLong=43.26128%2C-2.92717&sort=RECOMMENDED&top_dp=180&top_cur=EUR&userIntent=&selectedRoomType=427120&selectedRatePlan=211288419&categorySearch=any_option&searchId=eef01e22-a6a8-4042-817c-5cc7c286c048,Bilbao
