city,name,price,rating,address,services,url
Bilbao,Barceló Bilbao Nervión,270,"8,8","Paseo Campo Volantin 11, Bilbao, Vizcaya, 48007","Desayuno bufé disponible | Aparcamiento sin asistencia disponible | Alquiler de coches en las instalaciones | Restaurante | Wifi gratis | Gimnasio en las instalaciones | Wifi gratis en todas las habitaciones | Wifi gratis disponible en algunas zonas comunes | Aparcamiento en las instalaciones (27 EUR por día) | Aparcamiento sin asistencia limitado en las instalaciones | Aparcamiento accesible en silla de ruedas disponible | Desayuno tipo bufé con un coste adicional | Entre semana se sirve de 07:00 a 10:30, y los fines de semana de 07:30 a 11:00 | 20 EUR por persona | Un bar o lounge | Un restaurante | Una cafetería | Ibaizabal: restaurante que sirve desayuno, almuerzo y cena. | Solo se aceptan animales de servicio, no mascotas | Televisión en zonas comunes | Servicios de lavandería | Caja fuerte en recepción | Consigna de equipaje | Periódicos gratis en el vestíbulo | Recepción abierta las 24 horas | Asistencia turística y para entradas y billetes | Servicio de celebración de bodas | Servicio de limpieza (diario) | Servicios de conserjería | Centro de conferencias | Centro de negocios | Salas de reuniones | Si tienes algún requisito de accesibilidad en particular, ponte en contacto con el alojamiento con la información que aparece en la confirmación que recibiste al reservar. | Accesible en silla de ruedas (puede tener limitaciones) | Acceso a la entrada bien iluminado | Alarmas visuales en los pasillos | Aparcamiento accesible en silla de ruedas | Ascensor (puerta con 141 cm de ancho) | Baño público accesible en silla de ruedas | Centro de negocios accesible en silla de ruedas | Conserjería accesible en silla de ruedas | Entrada sin escaleras | Plaza de aparcamiento con acceso de 1 | Recepción accesible en silla de ruedas (a 101 cm de altura) | Restaurante accesible en silla de ruedas | Salón accesible en silla de ruedas | Señalización en braille o en relieve | Vía accesible en silla de ruedas | Vía hasta el ascensor accesible en silla de ruedas | 1 edificio | 7 pisos | Alojamiento libre de humo | Sala de baile | Salón de banquetes",https://es.hoteles.com/ho123237/barcelo-bilbao-nervion-bilbao-espana/?chkin=2026-06-04&chkout=2026-06-05&x_pwa=1&rm1=a2
Bilbao,Batimont Suites & Apartments,195,"9,4","Colón de Larreátegui K. 13, Bilbao, Bizkaia, 48001","Aparcamiento en garaje disponible | Cocina | Servicios de lavandería | Wifi gratis | Frigorífico | Microondas | Disponible en el apartamento: wifi e Internet por cable gratis | Disponible en algunas zonas comunes: wifi gratis | Punto de recarga de coches eléctricos en las instalaciones | Aparcamiento en las instalaciones disponible previa solicitud | Aparcamiento con vigilancia en las instalaciones (25 EUR por noche) | Aparcamiento sin asistencia limitado en las instalaciones | Aparcamiento accesible en silla de ruedas disponible | Las opciones de aparcamiento de las instalaciones incluyen garaje | No se aceptan mascotas | Casino en los alrededores | Artículos de limpieza | Cafetera y tetera | Congelador | Papel de cocina | Placa de cocina | Plancha | Tostadora | Vajilla y utensilios de cocina | Carta de almohadas | Edredón de plumas | Ropa de cama de alta calidad | 1 baño privado | Cabezal de ducha tipo lluvia | Champú | Ducha | Jabón | Papel higiénico | Se proporcionan toallas | Secador de pelo | Suelo radiante | Smart TV de 70 pulgadas con canales digitales | Lavandería | Espacio para trabajar con ordenador portátil | Calefacción | Si tienes algún requisito de accesibilidad en particular, ponte en contacto con el alojamiento con la información que aparece en la confirmación que recibiste al reservar. | 2 plazas de aparcamiento accesibles | Acceso a la entrada bien iluminado | Acceso en silla de ruedas (puede tener limitaciones) | Alfombra en la habitación | Aparcamiento con acceso en silla de ruedas | Ascensor (puerta con 229 cm de ancho) | Barandillas en las escaleras (a 70 cm de altura) | Entrada sin escaleras | Parqué en la habitación | Ruta con acceso en silla de ruedas al ascensor | Señalización en braille o en relieve | Alojamiento libre de humo | Atención multilingüe | Consigna de equipaje | Cortinas oscuras | Plancha o tabla de planchar | Recepción abierta con horario limitado | Servicio de limpieza semanal | Cerca de tiendas outlet | Cerca de un spa o balneario | Cerca de una estación de metro | Cerca de una estación de tren | Cerca del mar | Cerca del paseo marítimo | Con fácil acceso a un centro comercial | Con fácil acceso a una estación de tren o metro | En el centro | En un barrio comercial | Junto al aeropuerto | 85 unidades | Punto de recarga de coches eléctricos | Sistema de insonorización | No se ha indicado si hay detector de monóxido de carbono (el propietario no ha indicado si hay un detector de monóxido de carbono en el alojamiento; te recomendamos traer un detector portátil) | No se ha indicado si hay detector de humo (el propietario no ha indicado si hay un detector de humo en el alojamiento)",https://es.hoteles.com/ho3475900832/?chkin=2026-06-04&chkout=2026-06-05&x_pwa=1&rm1=a2
Bilbao,Bilbao City Rooms,125,"8,6","ALAMEDA RECALDE, N 24   PLANTA4, Bilbao, 48009","Wifi gratis | Limpieza de habitaciones diaria | Frigorífico | No se permite fumar | Wifi gratis en todas las habitaciones | Wifi gratis disponible en algunas zonas comunes | No hay aparcamiento en las instalaciones | No se aceptan mascotas | Frigorífico en la habitación | Servicios de lavandería | Caja fuerte en recepción | Consigna de equipaje | Asistencia turística y para entradas y billetes | Servicio de limpieza (diario) | Servicio de tintorería/lavandería | Servicios de conserjería | Si tienes algún requisito de accesibilidad en particular, ponte en contacto con el alojamiento con la información que aparece en la confirmación que recibiste al reservar. | Ascensor | Vía accesible en silla de ruedas | Alojamiento libre de humo",https://es.hoteles.com/ho716160928/bilbao-city-rooms-bilbao-espana/?chkin=2026-06-04&chkout=2026-06-05&x_pwa=1&rm1=a2
Bilbao,Catalonia Gran Vía Bilbao,240,"9,6","Gran Vía de Don Diego López de Haro, 73, Bilbao, 48009","Piscina cubierta | Desayuno bufé disponible | Aparcamiento sin asistencia disponible | Se admiten perros y gatos | Restaurante mediterráneo | Spa completo | Wifi gratis en todas las habitaciones | Wifi gratis disponible en algunas zonas comunes | Punto de recarga de coches eléctricos en las instalaciones | Aparcamiento cubierto en las instalaciones (26 EUR por día) | Aparcamiento sin asistencia limitado en las instalaciones | Aparcamiento accesible en silla de ruedas y aparcamiento para furgonetas disponible | Desayuno tipo bufé con un coste adicional | Entre semana se sirve de 07:00 a 11:00, y los fines de semana de 07:00 a 12:00 | 25 EUR por persona | Bar-cafetería | Un bar o lounge | Un restaurante | Gastrobar: bar que ofrece cocina mediterránea. | La piscina cierra todos los años del 31 de octubre al 31 de marzo | Una piscina cubierta y una piscina al aire libre de temporada en las instalaciones | Tumbonas | Piscina al aire libre de temporada abierta de abril a octubre | Gimnasio en las instalaciones | Solo se admiten perros y gatos | Una mascota en total (hasta 20 kilogramos por mascota) | Tarifa: 25 EUR por mascota por noche | No se aplican cargos por animales de servicio | Depósito: 200 EUR por estancia | Boles de comida y agua | Televisión en zonas comunes | Habitaciones insonorizadas | Piscina al aire libre de temporada | Servicios de lavandería | Caja fuerte en recepción | Consigna de equipaje | Dispensador de agua | Recepción abierta las 24 horas | Asistencia turística y para entradas y billetes | Atención multilingüe | Portero o botones | Servicio de limpieza (diario) | Servicio de tintorería/lavandería | Servicios de conserjería | 2 salas de reuniones | Centro de negocios | Sala de ordenadores | Jardín | Terraza | Masajes en la habitación | Sala de vapor | Sauna | Spa abierto todos los días | Si tienes algún requisito de accesibilidad en particular, ponte en contacto con el alojamiento con la información que aparece en la confirmación que recibiste al reservar. | 4 plazas de aparcamiento accesibles | Accesible en silla de ruedas (puede tener limitaciones) | Acceso a la entrada bien iluminado | Aparcamiento accesible en silla de ruedas | Aparcamiento para furgonetas accesible en silla de ruedas | Ascensor (puerta con 130 cm de ancho) | Baño público accesible en silla de ruedas | Conserjería accesible en silla de ruedas | Elevador de acceso a la piscina disponible | Entrada sin escaleras | Gimnasio accesible en silla de ruedas | Piscina accesible en silla de ruedas | Restaurante accesible en silla de ruedas | Salón accesible en silla de ruedas | Spa accesible en silla de ruedas | Vía hasta el ascensor accesible en silla de ruedas | 1 edificio | 8 pisos | Al menos un 80 % de la iluminación procede de LED | Alojamiento libre de humo | Construido en 2021 | Desayuno vegetariano disponible | Opciones de alimentación veganas | Opciones de alimentación vegetarianas | Política integral contra el desperdicio de alimentos | Política integral de reciclaje | Sala de estar compartida | Sala para eventos | Salón de banquetes | Trato compasivo de los animales en cautividad | Ventanas con doble acristalamiento",https://es.hoteles.com/ho2093168992/catalonia-gran-via-bilbao-bilbao-espana/?chkin=2026-06-04&chkout=2026-06-05&x_pwa=1&rm1=a2
Bilbao,Axel Hotel Bilbao – Adults Only,211,"9,2","Mesedeetako Kaia 3, Bilbao, 48003","Piscina al aire libre | Desayuno bufé disponible | Spa completo | Wifi gratis | Gimnasio abierto las 24 horas | Bar y lounge | Wifi gratis en todas las habitaciones | Velocidad de conexión wifi en la habitación: 250 Mbps o más (de 3 a 5 personas, o hasta 10 dispositivos) | Wifi gratis disponible en algunas zonas comunes | No hay aparcamiento en las instalaciones | Desayuno tipo bufé con un coste adicional | Entre semana se sirve de 07:00 a 11:00, y los fines de semana de 08:00 a 12:00 | 18 EUR por persona | Un bar o lounge | Una cafetería | Una piscina al aire libre en las instalaciones | Acceso a la piscina: de 10:00 a 20:00 | Gimnasio disponible las 24 horas en las instalaciones | No se aceptan mascotas | Consigna de equipaje | Recepción abierta las 24 horas | Atención multilingüe | Servicio de limpieza (diario) | Servicio de tintorería/lavandería | Baño turco | Masaje | Sala de vapor | Sauna | Spa abierto todos los días | Si tienes algún requisito de accesibilidad en particular, ponte en contacto con el alojamiento con la información que aparece en la confirmación que recibiste al reservar. | Accesible en silla de ruedas (puede tener limitaciones) | Restaurante accesible en silla de ruedas | Sin ascensor | Alojamiento libre de humo",https://es.hoteles.com/ho3447059456/axel-hotel-bilbao-only-adults/?chkin=2026-06-04&chkout=2026-06-05&x_pwa=1&rm1=a2
Bilbao,Holiday Inn Express Bilbao by IHG,166,"8,4","Zarandoa Kalea, 5, Derio, Vizcaya, 48160","Desayuno bufé incluido | Aparcamiento sin asistencia incluido | Transporte desde/hasta el aeropuerto incluido | Se admiten perros y gatos | Restaurante | Wifi gratis | Wifi gratis en todas las habitaciones | Wifi gratis disponible en algunas zonas comunes | Aparcamiento sin asistencia gratis en las instalaciones | Aparcamiento sin asistencia limitado en las instalaciones | Transporte al aeropuerto (ida y vuelta) gratis de 05:00 a 23:00 | Transporte al aeropuerto en horarios establecidos | Se sirve los fines de semana de 05:00 a 10:30 | Bar-cafetería | Un bar o lounge | Un restaurante | Una cafetería | Snack bar: bar que sirve almuerzo y cena. | Solo se admiten perros y gatos | 2 mascotas en total | Tarifa: 10 EUR por mascota por noche | No se aplican cargos por animales de servicio | Boles de comida y agua | Televisión en zonas comunes | Cuna en la habitación | Caja fuerte en recepción | Consigna de equipaje | Dispensador de agua | Máquina expendedora | Microondas compartido | Recepción abierta las 24 horas | Atención multilingüe | Servicio de limpieza (diario) | 3 metros cuadrados de zona para conferencias | Centro de negocios 24 horas | Salas de reuniones | En una reserva natural | Mobiliario exterior | Terraza | Si tienes algún requisito de accesibilidad en particular, ponte en contacto con el alojamiento con la información que aparece en la confirmación que recibiste al reservar. | Ascensor | Señalización en braille o en relieve | Vía accesible en silla de ruedas | 1 edificio | 3 pisos | Alojamiento libre de humo",https://es.hoteles.com/ho346659/holiday-inn-express-bilbao-derio-espana/?chkin=2026-06-04&chkout=2026-06-05&x_pwa=1&rm1=a2
Bilbao,Líbere Bilbao Ledesma,163,"9,0","C/ Ledesma 5, Bilbao, 48001","Se admiten perros | Cocina | Lavadora | Aire acondicionado | Wifi gratis | Cunas o camas infantiles gratis | Disponible en el apartamento: wifi gratis | Disponible en algunas zonas comunes: wifi gratis | No hay aparcamiento en las instalaciones | Desayuno continental con un coste adicional | Se sirve todos los días, de 09:00 a 12:00 | 7.6 EUR para adultos y 7.6 EUR para menores | Mesa de comedor | Solo se admiten perros | Tarifa: 22 EUR por mascota por noche | No se aplican cargos por animales de servicio | Cuna gratis | Artículos de limpieza | Batidora | Frigorífico | Máquina de café expreso | Microondas | Placa de cocina | Plancha | Tostadora | Vajilla y utensilios de cocina | Se proporcionan sábanas | 1 baño privado | Champú | Ducha | Jabón | Papel higiénico | Se proporcionan toallas | Secador de pelo | Smart TV de 50 pulgadas | Espacio para trabajar con ordenador portátil | Calefacción | Si tienes algún requisito de accesibilidad en particular, ponte en contacto con el alojamiento con la información que aparece en la confirmación que recibiste al reservar. | Acceso en silla de ruedas (puede tener limitaciones) | Ascensor (puerta con 119 cm de ancho) | Ruta con acceso en silla de ruedas al ascensor | Alojamiento libre de humo | Consigna de equipaje | Cortinas oscuras | Plancha o tabla de planchar | Recepción virtual | Cerca de una estación de metro | Cerca de una estación de tren | Con fácil acceso a una estación de tren o metro | En el centro | 45 unidades | Sistema de insonorización | No se ha indicado si hay detector de monóxido de carbono (el propietario no ha indicado si hay un detector de monóxido de carbono en el alojamiento; te recomendamos traer un detector portátil) | No se ha indicado si hay detector de humo (el propietario no ha indicado si hay un detector de humo en el alojamiento)",https://es.hoteles.com/ho3288258880/libere-bilbao-ledesma-bilbao-espana/?chkin=2026-06-04&chkout=2026-06-05&x_pwa=1&rm1=a2
Bilbao,Hotel ILUNION Bilbao,180,"8,6","Calle Rodriguez Arias 66, Bilbao, Vizcaya, 48013","Desayuno bufé disponible | Aparcamiento en garaje disponible | Alquiler de coches en las instalaciones | Se admiten mascotas (se aplica un cargo) | Restaurante | Wifi gratis | Wifi gratis en todas las habitaciones | Wifi gratis disponible en algunas zonas comunes | Punto de recarga de coches eléctricos en las instalaciones | Aparcamiento en las instalaciones con restricciones de altura | Aparcamiento en las instalaciones (28 EUR por día) | Aparcamiento sin asistencia limitado en las instalaciones | Aparcamiento accesible en silla de ruedas disponible | Las opciones de aparcamiento de las instalaciones incluyen garaje | Desayuno tipo bufé con un coste adicional | Entre semana se sirve de 07:00 a 10:30, y los fines de semana de 07:30 a 11:00 | 17 EUR para adultos y 8.5 EUR para menores | Bar-cafetería | Un bar o lounge | Un restaurante | En La Kedada, excelente restaurante, podrás disfrutar de desayuno. | La Kedada -  Tapas Bar: bar de tapas que sirve almuerzos y cenas. Abre todos los días. | Gimnasio disponible las 24 horas en las instalaciones | Tarifa: 35 EUR por mascota por noche | No se aplican cargos por animales de servicio | Se aceptan mascotas solo en determinadas habitaciones; llama con antelación para concertarlo con el alojamiento | Boles de comida y agua | Televisión en zonas comunes | Frigorífico pequeño | Servicios de lavandería | Caja fuerte en recepción | Consigna de equipaje | Dispensador de agua | Recepción abierta las 24 horas | Tienda de recuerdos o quiosco | Asistencia turística y para entradas y billetes | Atención multilingüe | Servicio de celebración de bodas | Servicio de limpieza (diario) | Servicio de tintorería/lavandería | 350 metros cuadrados de zona para conferencias | 8 salas de reuniones | Centro de negocios | Si tienes algún requisito de accesibilidad en particular, ponte en contacto con el alojamiento con la información que aparece en la confirmación que recibiste al reservar. | Accesible en silla de ruedas (puede tener limitaciones) | Aparcamiento accesible en silla de ruedas | Ascensor | Baño público accesible en silla de ruedas | Barandillas en las escaleras | Gimnasio accesible en silla de ruedas | Recepción accesible en silla de ruedas | Restaurante accesible en silla de ruedas | Señalización en braille o en relieve | Sillas de ruedas en las instalaciones | Vía accesible en silla de ruedas | Vía hasta el ascensor accesible en silla de ruedas | 13 pisos | 2 edificios | Al menos un 80 % de los alimentos es de producción local | Alojamiento libre de humo | Construido en 1965 | Desayuno vegetariano disponible | Energía 100 % renovable | Opciones de alimentación veganas | Opciones de alimentación vegetarianas | Política integral contra el desperdicio de alimentos | Política integral de reciclaje | Sala para eventos | Se fomenta el uso de dispensadores de agua | Se utilizan productos de limpieza ecológicos | Trato compasivo de los animales en cautividad | Ventanas con doble acristalamiento",https://es.hoteles.com/ho195993/hotel-ilunion-bilbao-bilbao-espana/?chkin=2026-06-04&chkout=2026-06-05&x_pwa=1&rm1=a2
Bilbao,Hotel Miro,265,"9,4","Alameda Mazarredo 77, Bilbao, Vizcaya, 48009",,https://es.hoteles.com/ho207802/hotel-miro-bilbao-espana/?chkin=2026-06-04&chkout=2026-06-05&x_pwa=1&rm1=a2
Bilbao,voco Bilbao City by IHG,179,"9,2","Kirikiño Etorbidea 1, Bilbao, Vizcaya, 48012","Desayuno bufé disponible | Se admiten mascotas (se aplica un cargo) | Restaurante | Wifi gratis | Gimnasio abierto las 24 horas | Sala de juegos electrónicos o de mesa | Wifi gratis en todas las habitaciones | Wifi gratis disponible en algunas zonas comunes | No hay aparcamiento en las instalaciones | Desayuno tipo bufé con un coste adicional | Entre semana se sirve de 07:00 a 10:00, y los fines de semana de 08:00 a 11:00 | 16 EUR para adultos y 16 EUR para menores | Bar-cafetería | Café y té en zonas comunes | Un bar o lounge | Un restaurante | Una cafetería | Gimnasio disponible las 24 horas en las instalaciones | Tarifa: 20 EUR por mascota por noche | No se aplican cargos por animales de servicio | Boles de comida y agua | Zona recreativa o sala de juegos | Habitaciones insonorizadas | Caja fuerte en recepción | Recepción abierta las 24 horas | Asistencia turística y para entradas y billetes | Paquetes románticos | Servicio de limpieza (diario) | Servicios de conserjería | Espacio de coworking | Sala de reuniones | Si tienes algún requisito de accesibilidad en particular, ponte en contacto con el alojamiento con la información que aparece en la confirmación que recibiste al reservar. | Accesible en silla de ruedas (puede tener limitaciones) | Acceso a la entrada bien iluminado | Ascensor | Asiento de inodoro elevado | Barra de apoyo cerca del inodoro | Conserjería accesible en silla de ruedas | Entrada sin escaleras | Gimnasio accesible en silla de ruedas | Lavabo a baja altura | Recepción accesible en silla de ruedas | Salón accesible en silla de ruedas | Vía hasta el ascensor accesible en silla de ruedas | Alojamiento libre de humo | Salón de banquetes | Casino",https://es.hoteles.com/ho2148642848/voco-bilbao-city-by-ihg/?chkin=2026-06-04&chkout=2026-06-05&x_pwa=1&rm1=a2
